㞎㞎	ba3 ba5
播撒	bo1 sa3
播种	bo1 zhong4
撮合	cuo1 he5
撺掇	cuan1 duo5
撼天动地	han4 tian1 dong4 di4
擂台	lei4 tai2
擂台赛	lei4 tai2 sai4
操持	cao1 chi5
操蛋	cao4 dan4
擢发难数	zhuo2 fa4 nan2 shu3
擦屁股	ca1 pi4 gu5
擦干	ca1 gan1
擦黑儿	ca1 hei1 r5
攀供	pan1 gong4
攀高枝儿	pan1 gao1 zhi1 r5
攒劲	zan3 jin4
攒钱	zan3 qian2
攘场	rang3 chang2
攘辟	rang3 bi4
攥拳头	zuan4 quan2 tou5
支吾	zhi1 wu5
支差	zhi1 chai1
支行	zhi1 hang2
收假	shou1 jia4
收地	shou1 di4
收复失地	shou1 fu4 shi1 di4
收拾	shou1 shi5
收拾残局	shou1 shi5 can2 ju2
收购要约	shou1 gou4 yao1 yue1
改为	gai3 wei2
改行	gai3 hang2
攻城略地	gong1 cheng2 lve4 di4
放下包袱	fang4 xia5 bao1 fu5
放不下	fang4 bu5 xia4
放不下心	fang4 bu5 xia4 xin1
放假	fang4 jia4
放暑假	fang4 shu3 jia4
放血	fang4 xie3
放还	fang4 huan2
放风筝	fang4 feng1 zheng5
政教处	zheng4 jiao4 chu3
政治避难	zheng4 zhi4 bi4 nan4
故事片	gu4 shi5 pian4
故事线	gu4 shi5 xian4
故伎重演	gu4 ji4 chong2 yan3
故地	gu4 di4
故地重游	gu4 di4 chong2 you2
故家子弟	gu4 jia1 zi3 di4
故都	gu4 du1
敌地	di2 di4
敌特分子	di2 te4 fen4 zi3
救难	jiu4 nan4
教书	jiao1 shu1
教书匠	jiao1 shu1 jiang4
教会	jiao1 hui4
教务长	jiao4 wu4 zhang3
教坏	jiao1 huai4
教堂墓地	jiao4 tang2 mu4 di4
教子	jiao4 zi3
教学相长	jiao4 xue2 xiang1 zhang3
教授	jiao1 shou4
教育部长	jiao4 yu4 bu4 zhang3
教训	jiao4 xun5
教课	jiao1 ke4
教长	jiao4 zhang3
敛巴	lian3 ba5
敞开儿	chang3 kai1 r5
敢为	gan3 wei2
敢为人先	gan3 wei2 ren2 xian1
敢作敢为	gan3 zuo4 gan3 wei2
敢情	gan3 qing5
散乱	san3 luan4
散件	san3 jian4
散体	san3 ti3
散光	san3 guang1
散兵	san3 bing1
散兵坑	san3 bing1 keng1
散兵游勇	san3 bing1 you2 yong3
散养	san3 yang3
散列	san3 lie4
散剂	san3 ji4
散匪	san3 fei3
散客	san3 ke4
散射	san3 she4
散居	san3 ju1
散工	san3 gong1
散座	san3 zuo4
散座儿	san3 zuo4 r5
散弹	san3 dan4
散弹枪	san3 dan4 qiang1
散户	san3 hu4
散打	san3 da3
散文	san3 wen2
散文诗	san3 wen2 shi1
散景	san3 jing3
散曲	san3 qu3
散板	san3 ban3
散架	san3 jia4
散沙	san3 sha1
散漫	san3 man4
散点图	san3 dian3 tu2
散白	san3 bai2
散碎	san3 sui4
散粉	san3 fen3
散职	san3 zhi2
散腿裤	san3 tui3 ku4
散装	san3 zhuang1
散见	san3 jian4
散记	san3 ji4
散话	san3 hua4
散诞	san3 dan4
散钱	san3 qian2
散饵	san3 er3
数一数二	shu3 yi1 shu3 er4
数不上	shu3 bu4 shang4
数不尽	shu3 bu5 jin4
数不清	shu3 bu5 qing1
数不着	shu3 bu4 zhao2
数不胜数	shu3 bu4 sheng4 shu3
数不过来	shu3 bu4 guo4 lai2
数九	shu3 jiu3
数九天	shu3 jiu3 tian1
数九寒天	shu3 jiu3 han2 tian1
数伏	shu3 fu2
数典忘祖	shu3 dian3 wang4 zu3
数出	shu3 chu1
数得上	shu3 de5 shang4
数得着	shu3 de5 zhao2
数念	shu3 nian4
数据处理	shu4 ju4 chu3 li3
数数	shu3 shu4
数来宝	shu3 lai2 bao3
数清	shu3 qing1
数点	shu3 dian3
数珠念佛	shu3 zhu1 nian4 fo2
数码相机	shu4 ma3 xiang4 ji1
数秒	shu3 miao3
数落	shu3 luo5
数见不鲜	shuo4 jian4 bu4 xian1
数黄道黑	shu3 huang2 dao4 hei1
数黑论白	shu3 hei1 lun4 bai2
数黑论黄	shu3 hei1 lun4 huang2
敲丧钟	qiao1 sang1 zhong1
敲锣边儿	qiao1 luo2 bian1 r5
整地	zheng3 di4
敷衍了事	fu1 yan3 liao3 shi4
文书处理	wen2 shu1 chu3 li3
文字处理	wen2 zi4 chu3 li3
文攻武吓	wen2 gong1 wu3 he4
文绉绉	wen2 zhou1 zhou1
斗内	dou3 nei4
斗地主	dou4 di4 zhu3
斗大	dou3 da4
斗室	dou3 shi4
斗拱	dou3 gong3
斗柄	dou3 bing3
斗笠	dou3 li4
斗筲	dou3 shao1
斗筲之人	dou3 shao1 zhi1 ren2
斗筲之器	dou3 shao1 zhi1 qi4
斗筲之材	dou3 shao1 zhi1 cai2
斗篷	dou3 peng5
斗胆	dou3 dan3
斗车	dou3 che1
斗酒只鸡	dou3 jiu3 zhi1 ji1
料中	liao4 zhong4
料头儿	liao4 tou2 r5
料度	liao4 duo2
料斗	liao4 dou3
料豆儿	liao4 dou4 r5
斜切锯	xie2 qie1 ju4
斜愣眼	xie2 leng5 yan3
斜愣眼儿	xie2 leng5 yan3 r5
斩钉切铁	zhan3 ding1 qie1 tie3
断子绝孙	duan4 zi3 jue2 sun1
断片儿	duan4 pian4 r5
断舍离	duan4 she3 li2
断行	duan4 hang2
方丈	fang1 zhang5
施粥舍饭	shi1 zhou1 she3 fan4
施舍	shi1 she3
旁边儿	pang2 bian1 r5
旅游胜地	lv3 you2 sheng4 di4
旅长	lv3 zhang3
旋子	xuan4 zi5
旋工	xuan4 gong1
旋床	xuan4 chuang2
旋木	xuan4 mu4
旋转对称	xuan2 zhuan3 dui4 chen4
旋风	xuan4 feng1
旋风脚	xuan4 feng1 jiao3
族长	zu2 zhang3
旗开得胜	qi2 kai1 de2 sheng4
旗杆	qi2 gan1
无业闲散	wu2 ye4 xian2 san3
无为	wu2 wei2
无以为报	wu2 yi3 wei2 bao4
无以为生	wu2 yi3 wei2 sheng1
无做作	wu2 zuo4 zuo5
无可挑剔	wu2 ke3 tiao1 ti5
无地自容	wu2 di4 zi4 rong2
无头苍蝇	wu2 tou2 cang1 ying5
无干	wu2 gan1
无患子	wu2 huan4 zi3
无所不为	wu2 suo3 bu4 wei2
无所作为	wu2 suo3 zuo4 wei2
无的放矢	wu2 di4 fang4 shi3
无着	wu2 zhuo2
无能为力	wu2 neng2 wei2 li4
无薪假	wu2 xin1 jia4
无间	wu2 jian4
既得	ji4 de2
既得利益	ji4 de2 li4 yi4
既得期间	ji4 de2 qi1 jian1
日月重光	ri4 yue4 chong2 guang1
日没	ri4 mo4
日进斗金	ri4 jin4 dou3 jin1
旦角	dan4 jue2
旧地	jiu4 di4
旧地重游	jiu4 di4 chong2 you2
旧景重现	jiu4 jing3 chong2 xian4
旧皇历	jiu4 huang2 li5
旧调重弹	jiu4 diao4 chong2 tan2
旧都	jiu4 du1
早上	zao3 shang5
早上好	zao3 shang5 hao3
早早儿	zao3 zao3 r5
早点儿	zao3 dian3 r5
早班儿	zao3 ban1 r5
早生贵子	zao3 sheng1 gui4 zi3
旮旯儿	ga1 la2 r5
时代曲	shi2 dai4 qu3
时候	shi2 hou5
时辰	shi2 chen5
时辰未到	shi2 chen5 wei4 dao4
旷地	kuang4 di4
明了	ming2 liao3
明儿	ming2 r5
明儿个	ming2 r5 ge5
明朝	ming2 zhao1
明白	ming2 bai5
明窗净几	ming2 chuang1 jing4 ji1
明里	ming2 li5
昏天黑地	hun1 tian1 hei1 di4
昏定晨省	hun1 ding4 chen2 xing3
昏过去	hun1 guo5 qu5
易取得	yi4 qu3 de2
星宿	xing1 xiu4
星斗	xing1 dou3
星星	xing1 xing5
星星之火	xing1 xing5 zhi1 huo3
星相	xing1 xiang4
星相图	xing1 xiang4 tu2
星相学	xing1 xiang4 xue2
星相家	xing1 xiang4 jia1
星相师	xing1 xiang4 shi1
星相术	xing1 xiang4 shu4
星移斗转	xing1 yi2 dou3 zhuan3
春假	chun1 jia4
春兴	chun1 xing4
春风得意	chun1 feng1 de2 yi4
昧没	mei4 mo4
昨儿	zuo2 r5
昨儿个	zuo2 r5 ge5
是不是	shi4 bu5 shi4
是味儿	shi4 wei4 r5
是非之地	shi4 fei1 zhi1 di4
显摆	xian3 bai5
晃动	huang4 dong4
晃悠	huang4 you5
晃晃悠悠	huang4 huang5 you1 you1
晃荡	huang4 dang5
晌午	shang3 wu5
晒干	shai4 gan1
晒骆驼	shai4 luo4 tuo5
晕乎	yun1 hu5
晕倒	yun1 dao3
晕厥	yun1 jue2
晕头	yun1 tou2
晕头转向	yun1 tou2 zhuan4 xiang4
晕死	yun1 si3
晕眩	yun1 xuan4
晕碳	yun1 tan4
晕糊	yun1 hu5
晕菜	yun1 cai4
晕高儿	yun4 gao1 r5
晚上	wan3 shang5
晚半天儿	wan3 ban5 tian1 r5
晨昏定省	chen2 hun1 ding4 xing3
晴天娃娃	qing2 tian1 wa2 wa5
晾干	liang4 gan1
暄腾	xuan1 teng5
暑假	shu3 jia4
暖和	nuan3 huo5
暗哨儿	an4 shao4 r5
暗地	an4 di4
暗地里	an4 di4 li5
暗花儿	an4 hua1 r5
暗记儿	an4 ji4 r5
暗里	an4 li5
暗间儿	an4 jian1 r5
曝光	bao4 guang1
曝光表	bao4 guang1 biao3
曲子	qu3 zi5
曲柄钻	qu1 bing3 zuan4
曲目	qu3 mu4
曲线锯	qu1 xian4 ju5
曲终奏雅	qu3 zhong1 zou4 ya3
曲艺	qu3 yi4
曲调	qu3 diao4
曲霉毒素	qu3 mei2 du2 su4
曲风	qu3 feng1
曲高和寡	qu3 gao1 he4 gua3
更为	geng4 wei2
更仆难数	geng1 pu2 nan2 shu3
更加	geng4 jia1
更是	geng4 shi4
更有甚者	geng4 you3 shen4 zhe3
更胜	geng4 sheng4
更胜一筹	geng4 sheng4 yi1 chou2
曼珠沙华	man4 zhu1 sha1 hua1
曾几何时	ceng2 ji3 he2 shi2
曾经	ceng2 jing1
曾经沧海	ceng2 jing1 cang1 hai3
替班儿	ti4 ban1 r5
替角	ti4 jue2
替角儿	ti4 jue2 r5
最为	zui4 wei2
最年长	zui4 nian2 zhang3
月下老儿	yue4 xia4 lao3 r5
月亮	yue4 liang5
月亮杯	yue4 liang5 bei1
月头儿	yue4 tou2 r5
月相	yue4 xiang4
有一点儿	you3 yi1 dian3 r5
有为	you3 wei2
有为有守	you3 wei2 you3 shou3
有兴趣	you3 xing4 qu4
有卖相	you3 mai4 xiang4
有嘴没舌	you3 zui3 mo4 she2
有失厚道	you3 shi1 hou4 dao5
有子存焉	you3 zi3 cun2 yan1
有年头	you3 nian2 tou5
有弹性	you3 tan2 xing4
有得一比	you3 de2 yi1 bi3
有得有失	you3 de2 you3 shi1
有意思	you3 yi4 si5
有所作为	you3 suo3 zuo4 wei2
有搞头	you3 gao3 tou5
有时候	you3 shi2 hou5
有朝	you3 zhao1
有朝一日	you3 zhao1 yi1 ri4
有本事	you3 ben3 shi5
有机分子	you3 ji1 fen1 zi3
有点儿	you3 dian3 r5
有的放矢	you3 di4 fang4 shi3
有益处	you3 yi4 chu5
有空	you3 kong4
有空儿	you3 kong4 r5
有缘无分	you3 yuan2 wu2 fen4
有谱儿	you3 pu3 r5
有边儿	you3 bian1 r5
有道理	you3 dao4 li5
朋友	peng2 you5
朋比为奸	peng2 bi3 wei2 jian1
服丧	fu2 sang1
服侍	fu2 shi5
服帖	fu2 tie1
服服	fu2 fu5
服服帖帖	fu2 fu5 tie1 tie1
望子成龙	wang4 zi3 cheng2 long2
朝三暮四	zhao1 san1 mu4 si4
朝不保夕	zhao1 bu4 bao3 xi1
朝不虑夕	zhao1 bu4 lv4 xi1
朝乾夕惕	zhao1 qian2 xi1 ti4
朝令夕改	zhao1 ling4 xi1 gai3
朝夕	zhao1 xi1
朝夕相处	zhao1 xi1 xiang1 chu3
朝思暮想	zhao1 si1 mu4 xiang3
朝日	zhao1 ri4
朝曦	zhao1 xi1
朝朝	zhao1 zhao1
朝朝暮暮	zhao1 zhao1 mu4 mu4
朝气	zhao1 qi4
朝气蓬勃	zhao1 qi4 peng2 bo2
朝生暮死	zhao1 sheng1 mu4 si3
朝秦暮楚	zhao1 qin2 mu4 chu3
朝过夕改	zhao1 guo4 xi1 gai3
朝闻夕改	zhao1 wen2 xi1 gai3
朝阳产业	zhao1 yang2 chan3 ye4
朝雨	zhao1 yu3
朝露	zhao1 lu4
朝露溘至	zhao1 lu4 ke4 zhi4
朝饔夕飧	zhao1 yong1 xi1 sun1
木头	mu4 tou5
木杆	mu4 gan1
木樨肉	mu4 xi5 rou4
木犀	mu4 xi5
木犀肉	mu4 xi5 rou4
木管乐器	mu4 guan3 yue4 qi4
未了	wei4 liao3
未必见得	wei4 bi4 jian4 de2
未曾	wei4 ceng2
未知数儿	wei4 zhi1 shu4 r5
未达一间	wei4 da2 yi1 jian4
未雨绸缪	wei4 yu3 chou2 mou2
末了	mo4 liao3
末儿	mo4 r5
本分	ben3 fen4
本地	ben3 di4
本地人	ben3 di4 ren2
本地化	ben3 di4 hua4
本应	ben3 ying1
本末倒置	ben3 mo4 dao4 zhi4
本本分分	ben3 ben3 fen4 fen4
本相	ben3 xiang4
本行	ben3 hang2
朴刀	po1 dao1
朴硝	po4 xiao1
机哩瓜拉	ji1 li1 gua1 la1
机壳	ji1 qiao4
机灵	ji1 ling5
机长	ji1 zhang3
杀出重围	sha1 chu1 chong2 wei2
杀彘教子	sha1 zhi4 jiao4 zi3
杂件儿	za2 jian4 r5
杂合子	za2 he2 zi3
杂和面	za2 huo5 mian4
杂和面儿	za2 huo5 mian4 r5
杂处	za2 chu3
杂居地区	za2 ju1 di4 qu1
杂拌儿	za2 ban4 r5
杂牌儿	za2 pai2 r5
杂碎	za2 sui5
权利要求	quan2 li4 yao1 qiu2
杆弟	gan1 di4
杏仁豆腐	xing4 ren2 dou4 fu5
村长	cun1 zhang3
杜松子	du4 song1 zi3
杜松子酒	du4 song1 zi3 jiu3
杜渐防萌	du4 jian1 fang2 meng2
束发	shu4 fa4
杠杠的	gang2 gang2 de5
条几	tiao2 ji1
来不及	lai2 bu5 ji2
来不得	lai2 bu5 de2
来朝	lai2 zhao1
来火儿	lai2 huo3 r5
来项	lai2 xiang5
杯盘狼藉	bei1 pan2 lang2 ji2
松子	song1 zi3
松快	song1 kuai5
松散	song1 san5
松菌	song1 jun4
板上钉钉	ban3 shang4 ding4 ding1
板儿爷	ban3 r5 ye2
板擦儿	ban3 ca1 r5
极为	ji2 wei2
极右分子	ji2 you4 fen4 zi3
极地	ji2 di4
极端分子	ji2 duan1 fen4 zi3
枇杷	pi2 pa5
枕头	zhen3 tou5
枕头大战	zhen3 tou5 da4 zhan4
枕头套	zhen3 tou5 tao4
枕头箱	zhen3 tou5 xiang1
枕头蛋糕	zhen3 tou5 dan4 gao1
枕席儿	zhen3 xi2 r5
枕边故事	zhen3 bian1 gu4 shi5
林八哥	lin2 ba1 ge5
林地	lin2 di4
果仁儿	guo3 ren2 r5
果切	guo3 qie1
果实累累	guo3 shi2 lei2 lei2
果干	guo3 gan1
果料儿	guo3 liao4 r5
果脯	guo3 fu3
枪子	qiang1 zi3
枪把儿	qiang1 ba4 r5
枪杆儿	qiang1 gan3 r5
枯干	ku1 gan1
枳壳	zhi3 qiao4
架不住	jia4 bu5 zhu4
架势	jia4 shi5
枸杞子	gou3 qi3 zi3
枸橘	gou1 ju2
枸橼	ju3 yuan2
柏青哥	bo2 qing1 ge1
某地	mou3 di4
染发	ran3 fa4
染发剂	ran3 fa4 ji4
染坊	ran3 fang2
柔情脉脉	rou2 qing2 mo4 mo4
查处	cha2 chu3
查没	cha2 mo4
查重	cha2 chong2
柱塞	zhu4 sai1
柴火	chai2 huo5
栅极	shan1 ji2
栅格	shan1 ge2
标准杆	biao1 zhun3 gan1
标地	biao1 di4
标得	biao1 de2
标杆	biao1 gan1
标的	biao1 di4
标致	biao1 zhi5
栈地址	zhan4 di4 zhi3
栏杆	lan2 gan1
树碑立传	shu4 bei1 li4 zhuan4
栖地	qi1 di4
栖息地	qi1 xi1 di4
栖栖	xi1 xi1
栖栖遑遑	xi1 xi1 huang2 huang2
栗头地莺	li4 tou2 di4 ying1
校准	jiao4 zhun3
校勘	jiao4 kan1
校地	xiao4 di4
校场	jiao4 chang3
校对	jiao4 dui4
校样	jiao4 yang4
校正	jiao4 zheng4
校订	jiao4 ding4
校释	jiao4 shi4
校长	xiao4 zhang3
校阅	jiao4 yue4
校飞	jiao4 fei1
校验	jiao4 yan4
校验码	jiao4 yan4 ma3
样儿	yang4 r5
核儿	hu2 r5
核地雷	he2 di4 lei2
核子	he2 zi3
核子医学	he2 zi3 yi1 xue2
核桃	he2 tao5
核桃仁	he2 tao5 ren2
核电荷数	he2 dian4 he4 shu4
根据地	gen1 ju4 di4
格子呢	ge2 zi5 ni2
格子花呢	ge2 zi5 hua1 ni2
格栅	ge2 shan1
格格	ge2 ge5
栽种	zai1 zhong4
栽种机	zai1 zhong4 ji1
栽筋斗	zai1 jin1 dou3
栽跟头	zai1 gen1 tou5
桁架	heng2 jia4
桁梁	heng2 liang2
桅杆	wei2 gan1
框框	kuang4 kuang5
案卷	an4 juan4
案称	an4 cheng4
桌面儿	zhuo1 mian4 r5
桌面儿上	zhuo1 mian4 r5 shang4
桡骨	rao2 gu3
档车	dang3 che1
梁上君子	liang2 shang4 jun1 zi3
梅干菜	mei2 gan1 cai4
梨园子弟	li2 yuan2 zi3 di4
检察总长	jian3 cha2 zong3 zhang3
检校	jian3 jiao4
棉花	mian2 hua5
棋子	qi2 zi3
棋高一着	qi2 gao1 yi1 zhao1
棒喝	bang4 he4
棒子面儿	bang4 zi5 mian4 r5
棺材	guan1 cai5
棺材板	guan1 cai5 ban3
棺材瓤子	guan1 cai5 rang2 zi5
植发	zhi2 fa4
楦头	xuan4 tou5
概念地图	gai4 nian4 di4 tu2
榆木脑袋	yu2 mu4 nao3 dai5
榔头	lang2 tou5
榛仁儿	zhen1 ren2 r5
榜笞	peng2 chi1
榨干	zha4 gan1
榫头	sun3 tou5
槟榔	bing1 lang5
槟榔西施	bing1 lang5 xi1 shi1
槵子	huan4 zi3
槽坊	cao2 fang5
模具	mu2 ju4
模压	mu2 ya1
模子	mu2 zi5
模板	mu2 ban3
模样	mu2 yang4
模特儿	mo2 te4 r5
模糊	mo2 hu5
模糊不清	mo2 hu5 bu4 qing1
模糊数学	mo2 hu5 shu4 xue2
模糊逻辑	mo2 hu5 luo2 ji5
横切	heng2 qie1
横是	heng2 shi5
横暴	heng4 bao4
横死	heng4 si3
横祸	heng4 huo4
横竖	heng2 shu5
横竖劲儿	heng2 shu4 jin4 r5
横筋斗	heng2 jin1 dou3
横翻筋斗	heng2 fan1 jin1 dou3
横蛮	heng4 man2
横财	heng4 cai2
樱桃萝卜	ying1 tao2 luo2 bo5
樵子	qiao2 zi3
橙头地鸫	cheng2 tou2 di4 dong1
橡子	xiang4 zi3
橡子面儿	xiang4 zi5 mian4 r5
檃栝	yin3 kuo4
次子	ci4 zi3
次长	ci4 zhang3
欢势	huan1 shi5
欢喜冤家	huan1 xi3 yuan1 jia5
欢天喜地	huan1 tian1 xi3 di4
欢实	huan1 shi5
欧咪呀给	ou1 mi1 ya1 gei3
欧巴桑	ou1 ba5 sang1
欺哄	qi1 hong3
欺行霸市	qi1 hang2 ba4 shi4
欺负	qi1 fu5
款儿	kuan3 r5
歃血为盟	sha4 xue4 wei2 meng2
歇息	xie1 xi5
歌儿	ge1 r5
歌曲	ge1 qu3
止疼片	zhi3 teng2 pian1
正中下怀	zheng4 zhong4 xia4 huai2
正中要害	zheng4 zhong4 yao4 hai4
正传	zheng4 zhuan4
正切	zheng4 qie1
正子	zheng4 zi3
正当	zheng4 dang4
正当性	zheng4 dang4 xing4
正当理由	zheng4 dang4 li3 you2
正当防卫	zheng4 dang4 fang2 wei4
正月初一	zheng1 yue4 chu1 yi1
正朔	zheng1 shuo4
正电子	zheng4 dian4 zi3
正着	zheng4 zhao2
正离子	zheng4 li2 zi3
正角	zheng4 jue2
正负电子	zheng4 fu4 dian4 zi3
此地	ci3 di4
此时此地	ci3 shi2 ci3 di4
此消彼长	ci3 xiao1 bi3 zhang3
步步为营	bu4 bu4 wei2 ying2
步罡踏斗	bu4 gang1 ta4 dou3
武装分子	wu3 zhuang1 fen4 zi3
歪打正着	wai1 da3 zheng4 zhao2
死不了	si3 bu4 liao3
死乞白赖	si3 qi5 bai2 lai4
死劲儿	si3 jin4 r5
死对头	si3 dui4 tou5
死当	si3 dang4
死心塌地	si3 xin1 ta1 di4
死心眼儿	si3 xin1 yan3 r5
死心踏地	si3 xin1 ta4 di4
死胡同	si3 hu2 tong4
死难	si3 nan4
死难者	si3 nan4 zhe3
殉难	xun4 nan4
残卷	can2 juan4
殖民地	zhi2 min2 di4
殷红	yan1 hong2
毁家纾难	hui3 jia1 shu1 nan4
毋宁	wu2 ning4
母丧	mu3 sang1
母子	mu3 zi3
母难日	mu3 nan4 ri4
母音调和	mu3 yin1 tiao2 he2
每个	mei3 ge5
每个人	mei3 ge5 ren2
毒参	du2 shen1
比一比	bi3 yi5 bi3
比不了	bi3 bu4 liao3
比为	bi3 wei2
比划	bi3 hua5
比方	bi3 fang5
比方说	bi3 fang5 shuo1
比杆赛	bi3 gan1 sai4
比量	bi3 liang5
毕宿五	bi4 xiu4 wu3
毛发	mao2 fa4
毛地黄	mao2 di4 huang2
毛毛虫	mao2 mao5 chong2
毛毛雨	mao2 mao5 yu3
毛肚	mao2 du3
毫不介意	hao2 bu5 jie4 yi4
毫不客气	hao2 bu4 ke4 qi5
毫发	hao2 fa4
毫发不爽	hao2 fa4 bu4 shuang3
毫发无伤	hao2 fa4 wu2 shang1
氆氇	pu3 lu5
民乐	min2 yue4
民间故事	min2 jian1 gu4 shi5
民间音乐	min2 jian1 yin1 yue4
气不忿儿	qi4 bu4 fen4 r5
气不过	qi4 bu5 guo4
气冲斗牛	qi4 chong1 dou3 niu2
气冲牛斗	qi4 chong1 niu2 dou3
气切	qi4 qie1
气动葫芦	qi4 dong4 hu2 lu5
气塞	qi4 sai1
气头上	qi4 tou2 shang5
气数	qi4 shu5
气钻	qi4 zuan4
气鸣乐器	qi4 ming2 yue4 qi4
氢原子	qing1 yuan2 zi3
氢氧离子	qing1 yang3 li2 zi3
氧原子	yang3 yuan2 zi3
水中毒	shui3 zhong4 du2
水分	shui3 fen4
水刑逼供	shui3 xing2 bi1 gong4
水处理	shui3 chu3 li3
水底相机	shui3 di3 xiang4 ji1
水泥地	shui3 ni2 di4
水牛儿	shui3 niu2 r5
水相	shui3 xiang4
水着	shui3 zhuo2
水萝卜	shui3 luo2 bo5
水葫芦	shui3 hu2 lu5
水饺儿	shui3 jiao3 r5
求之不得	qiu2 zhi1 bu4 de2
求仁得仁	qiu2 ren2 de2 ren2
求子	qiu2 zi3
求得	qiu2 de2
求锤得锤	qiu2 chui2 de2 chui2
汇出行	hui4 chu1 hang2
汗国	han2 guo2
汗褂儿	han4 gua4 r5
汗褟儿	han4 ta1 r5
沉没	chen2 mo4
沉没成本	chen2 mo4 cheng2 ben3
沉着	chen2 zhuo2
沉着应战	chen2 zhuo2 ying4 zhan4
沐猴而冠	mu4 hou2 er2 guan4
沙参	sha1 shen1
沙地	sha1 di4
沙坑杆	sha1 keng1 gan1
没事儿	mei2 shi4 r5
没人味儿	mei2 ren2 wei4 r5
没关系	mei2 guan1 xi5
没准儿	mei2 zhun3 r5
没准头	mei2 zhun3 tou5
没劲儿	mei2 jin4 r5
没头苍蝇	mei2 tou2 cang1 ying5
没奈何	mo4 nai4 he2
没完没了	mei2 wan2 mei2 liao3
没得挑剔	mei2 de2 tiao1 ti5
没意思	mei2 yi4 si5
没搞头	mei2 gao3 tou5
没收	mo4 shou1
没有关系	mei2 you3 guan1 xi5
没有意思	mei2 you3 yi4 si5
没法儿	mei2 fa3 r5
没溜儿	mei2 liu4 r5
没空儿	mei2 kong4 r5
没药	mo4 yao4
没落	mo4 luo4
没谁了	mei2 sei2 le5
没谱儿	mei2 pu3 r5
没长眼	mei2 zhang3 yan3
没长眼睛	mei2 zhang3 yan3 jing5
没门儿	mei2 men2 r5
没齿不忘	mo4 chi3 bu4 wang4
没齿难忘	mo4 chi3 nan2 wang4
沥干	li4 gan1
沦为	lun2 wei2
沦没	lun2 mo4
河叉	he2 cha4
河涌	he2 chong1
油炸	you2 zha2
油炸圈饼	you2 zha2 quan1 bing3
油炸鬼	you2 zha2 gui3
油豆腐	you2 dou4 fu5
治丧	zhi4 sang1
沼泽地	zhao3 ze2 di4
沼泽地带	zhao3 ze2 di4 dai4
沿儿	yan2 r5
沿岸地区	yan2 an4 di4 qu1
沿条儿	yan2 tiao2 r5
沿海地区	yan2 hai3 di4 qu1
沿边儿	yan2 bian1 r5
泄露	xie4 lou4
法儿	fa3 r5
法外之地	fa3 wai4 zhi1 di4
法轮常转	fa3 lun2 chang2 zhuan4
泛得林	fan4 de2 lin2
泡吧	pao4 ba1
泡子	pao1 zi5
泡桐	pao1 tong2
泡泡	pao4 pao5
泡泡袜	pao4 pao5 wa4
泡蘑菇	pao4 mo2 gu5
泡货	pao1 huo4
波带片	bo1 dai4 pian1
泥古	ni4 gu3
泥古不化	ni4 gu3 bu4 hua4
泥子	ni4 zi5
泥守	ni4 shou3
泥巴	ni2 ba5
泥鳅	ni2 qiu5
泯没	min3 mo4
泰斗	tai4 dou3
泰然处之	tai4 ran2 chu3 zhi1
泼辣	po1 la5
洁身自好	jie2 shen1 zi4 hao4
洋场恶少	yang2 chang3 e4 shao4
洋壳	yang2 qiao4
洋娃娃	yang2 wa2 wa5
洋底地壳	yang2 di3 di4 qiao4
洋洋得意	yang2 yang2 de2 yi4
洋洋自得	yang2 yang2 zi4 de2
洋画儿	yang2 hua4 r5
洋相	yang2 xiang4
洋芫荽	yang2 yan2 sui5
洋行	yang2 hang2
洒狗血	sa3 gou3 xie3
洒脱	sa3 tuo5
洗发乳	xi3 fa4 ru3
洗发剂	xi3 fa4 ji4
洗发水	xi3 fa4 shui3
洗发水儿	xi3 fa4 shui3 r5
洗发液	xi3 fa4 ye4
洗发皂	xi3 fa4 zao4
洗发粉	xi3 fa4 fen3
洗发精	xi3 fa4 jing1
洗发露	xi3 fa4 lu4
洗地	xi3 di4
洗马	xian3 ma3
活不下去	huo2 bu4 xia4 qu5
活儿	huo2 r5
活动场地	huo2 dong4 chang3 di4
活塞	huo2 sai1
活泛	huo2 fan5
活泼	huo2 po5
活跃分子	huo2 yue4 fen4 zi3
洼地	wa1 di4
派司	pa1 si5
流眄	liu2 mian3
流行音乐	liu2 xing2 yin1 yue4
流里流气	liu2 li5 liu2 qi4
流鼻血	liu2 bi2 xie3
浅源地震	qian3 yuan2 di4 zhen4
浅鲜	qian3 xian3
浆糊	jiang4 hu5
浆纸	jiang4 zhi3
浇头	jiao1 tou5
测地曲率	ce4 di4 qu1 lv4
测地线	ce4 di4 xian4
测度	ce4 duo2
测量	ce4 liang2
测量工具	ce4 liang2 gong1 ju4
测量船	ce4 liang2 chuan2
济济	ji3 ji3
济济一堂	ji3 ji3 yi1 tang2
浑身解数	hun2 shen1 xie4 shu4
浪头	lang4 tou5
浪子	lang4 zi3
浪子回头	lang4 zi3 hui2 tou2
浪得虚名	lang4 de2 xu1 ming2
浮云朝露	fu2 yun2 zhao1 lu4
浮动地狱	fu2 dong4 di4 yu4
浴火重生	yu4 huo3 chong2 sheng1
海军少校	hai3 jun1 shao4 xiao4
海参	hai3 shen1
海外赤子	hai3 wai4 chi4 zi3
海水倒灌	hai3 shui3 dao4 guan4
