㞎㞎	ba3 ba5
乐律	yue4 lv4
乐感	yue4 gan3
乐手	yue4 shou3
乐曲	yue4 qu3
乐理	yue4 li3
乐章	yue4 zhang1
乐谱	yue4 pu3
乐迷	yue4 mi2
乐队	yue4 dui4
乐音	yue4 yin1
乘兴	cheng2 xing4
乙种粒子	yi3 zhong3 li4 zi3
乜斜	mie1 xie5
九重霄	jiu3 chong2 xiao1
习以为常	xi2 yi3 wei2 chang2
习得	xi2 de2
习得性	xi2 de2 xing4
乡下	xiang1 xia5
乡下佬	xiang1 xia5 lao3
乡巴佬	xiang1 ba5 lao3
乡戚	xiang1 qi5
乡村音乐	xiang1 cun1 yin1 yue4
乡长	xiang1 zhang3
书卷	shu1 juan4
书卷奖	shu1 juan4 jiang3
书卷气	shu1 juan4 qi4
书皮儿	shu1 pi2 r5
书记	shu1 ji5
书记处	shu1 ji5 chu4
书记官	shu1 ji5 guan1
书馆儿	shu1 guan3 r5
买不起	mai3 bu5 qi3
买东西	mai3 dong1 xi5
买卖	mai3 mai5
买椟还珠	mai3 du2 huan2 zhu1
乱咕攘	luan4 gu1 rang5
乱弹琴	luan4 tan2 qin2
乱臣贼子	luan4 chen2 zei2 zi3
乱蓬蓬	luan4 peng1 peng1
乳臭未干	ru3 xiu4 wei4 gan1
了不得	liao3 bu5 de5
了不起	liao3 bu5 qi3
了了	liao3 liao3
了事	liao3 shi4
了债	liao3 zhai4
了却	liao3 que4
了却此生	liao3 que4 ci3 sheng1
了如指掌	liao3 ru2 zhi3 zhang3
了局	liao3 ju2
了当	liao3 dang4
了得	liao3 de5
了断	liao3 duan4
了无	liao3 wu2
了无新意	liao3 wu2 xin1 yi4
了无生趣	liao3 wu2 sheng1 qu4
了此残生	liao3 ci3 can2 sheng1
了然	liao3 ran2
了然于胸	liao3 ran2 yu2 xiong1
了知	liao3 zhi1
了结	liao3 jie2
了若指掌	liao3 ruo4 zhi3 zhang3
了解	liao3 jie3
争强好胜	zheng1 qiang2 hao4 sheng4
争得	zheng1 de2
事假	shi4 jia4
事儿	shi4 r5
事儿妈	shi4 r5 ma1
事发地点	shi4 fa1 di4 dian3
事后聪明	shi4 hou4 cong1 ming5
事在人为	shi4 zai4 ren2 wei2
事怕行家	shi4 pa4 hang2 jia1
事情	shi4 qing5
二人转	er4 ren2 zhuan4
二十八宿	er4 shi2 ba1 xiu4
二地主	er4 di4 zhu3
二拇指	er4 mu5 zhi3
二杆子	er4 gan1 zi5
二重	er4 chong2
二重下标	er4 chong2 xia4 biao1
二重唱	er4 chong2 chang4
二重奏	er4 chong2 zou4
二重性	er4 chong2 xing4
二重根	er4 chong2 gen1
二重母音	er4 chong2 mu3 yin1
云彩	yun2 cai5
云泥之差	yun2 ni2 zhi1 cha4
云窗雾槛	yun2 chuang1 wu4 kan3
互为因果	hu4 wei2 yin1 guo3
五体投地	wu3 ti3 tou2 di4
五味子	wu3 wei4 zi3
五子棋	wu3 zi3 qi2
五斗柜	wu3 dou3 gui4
五脏	wu3 zang4
五脏六腑	wu3 zang4 liu4 fu3
五苓散	wu3 ling2 san3
五行八作	wu3 hang2 ba1 zuo1
亚原子	ya4 yuan2 zi3
亚答子	ya4 da2 zi3
交卷	jiao1 juan4
交响乐	jiao1 xiang3 yue4
交响乐团	jiao1 xiang3 yue4 tuan2
交响乐队	jiao1 xiang3 yue4 dui4
交响曲	jiao1 xiang3 qu3
交差	jiao1 chai1
交恶	jiao1 wu4
交情	jiao1 qing5
交朋友	jiao1 peng2 you5
交还	jiao1 huan2
产仔	chan3 zi3
产假	chan3 jia4
产地	chan3 di4
产地证	chan3 di4 zheng4
产子	chan3 zi3
京都	jing1 du1
亭长	ting2 zhang3
亮相	liang4 xiang4
亲力亲为	qin1 li4 qin1 wei2
亲子	qin1 zi3
亲子丼	qin1 zi3 dong4
亲子游	qin1 zi3 you2
亲子鉴定	qin1 zi3 jian4 ding4
亲家	qing4 jia5
亲家公	qing4 jia5 gong1
亲家母	qing4 jia5 mu3
亲密无间	qin1 mi4 wu2 jian4
亲戚	qin1 qi5
亲生子女	qin1 sheng1 zi3 nv3
人为	ren2 wei2
人为土	ren2 wei2 tu3
人儿	ren2 r5
人参	ren2 shen1
人参果	ren2 shen1 guo3
人子	ren2 zi3
人尖儿	ren2 jian1 r5
人情味儿	ren2 qing2 wei4 r5
人才济济	ren2 cai2 ji3 ji3
人杰地灵	ren2 jie2 di4 ling2
人模狗样	ren2 mu2 gou3 yang4
人满为患	ren2 man3 wei2 huan4
人生朝露	ren2 sheng1 zhao1 lu4
人相	ren2 xiang4
人相学	ren2 xiang4 xue2
人给家足	ren2 ji3 jia1 zu2
人缘儿	ren2 yuan2 r5
人财两得	ren2 cai2 liang3 de2
人车混行	ren2 che1 hun2 xing2
人间地狱	ren2 jian1 di4 yu4
什一奉献	shi2 yi1 feng4 xian4
什么地方	shen2 me5 di4 fang5
什么时候	shen2 me5 shi2 hou5
什刹海	shi2 cha4 hai3
什器	shi2 qi4
什菜	shi2 cai4
什锦	shi2 jin3
什锦果盘	shi2 jin3 guo3 pan2
仁人君子	ren2 ren2 jun1 zi3
